iter	PRAUC	Logloss
0	0.7218224221	0.6821270018
1	0.7199845216	0.673446711
2	0.7233342322	0.6659065114
3	0.7227187215	0.6596055303
4	0.7278830964	0.654341334
5	0.7283200803	0.650045243
6	0.7284641456	0.6467958033
7	0.7316395109	0.6434096617
8	0.7340816643	0.6404591579
9	0.733979092	0.6380637431
10	0.7386021987	0.635237162
11	0.739137777	0.6334829774
12	0.7402891901	0.6318583804
13	0.7435571611	0.6302264806
14	0.7443642139	0.6286647278
15	0.7454426067	0.6274926923
16	0.7472620295	0.6262124585
17	0.7484903293	0.6250926741
18	0.7501630513	0.623943196
19	0.7512346912	0.623052405
20	0.7535011145	0.6217763826
21	0.7544182369	0.6211447867
22	0.7552636575	0.6204495066
23	0.755602907	0.6196738878
24	0.7562542598	0.6188914128
25	0.7577270795	0.6179462295
26	0.7580246106	0.6172864672
27	0.7593705636	0.6164254294
28	0.7605827482	0.6156210478
29	0.7613472289	0.6150009225
30	0.7625145343	0.614169038
31	0.7628902259	0.613752461
32	0.7633205921	0.6130675699
33	0.7635335536	0.6126640217
34	0.7645583227	0.6119020518
35	0.7657177232	0.6113734519
36	0.7662108936	0.6110118816
37	0.7675708812	0.6102948446
38	0.7681476642	0.6099083938
39	0.768871384	0.6092256421
40	0.7695471073	0.6087464405
41	0.7702938284	0.6082999807
42	0.7709868306	0.6078140618
43	0.7709260261	0.6074899032
44	0.7712284829	0.6071678125
45	0.7717407383	0.6068130203
46	0.7721657993	0.6064022326
47	0.7723976075	0.6062270634
48	0.772627991	0.6059739052
49	0.7731228846	0.6055738541
50	0.7738118055	0.6051798561
51	0.7741069993	0.6049115679
52	0.7743752818	0.6046026296
53	0.7746820434	0.6043281602
54	0.7749195776	0.6039134985
55	0.7754947541	0.6034634873
56	0.7758133504	0.6031658223
57	0.7759333491	0.6029672085
58	0.7760831947	0.6027813479
59	0.7762647897	0.602460469
60	0.7764404684	0.602241717
61	0.7765907983	0.601949132
62	0.7768916734	0.6016748543
63	0.7772941028	0.6013385265
64	0.7778071967	0.6008789453
65	0.7780975016	0.6006268176
66	0.7784560164	0.6003722787
67	0.7785679942	0.6001669381
68	0.7789614579	0.5998990564
69	0.7792460907	0.5996950621
70	0.7794635381	0.5994756424
71	0.7796435823	0.5993168511
72	0.7800672484	0.5989875787
73	0.780348349	0.5987649608
74	0.7805105731	0.5985255269
75	0.7808078344	0.5983196535
76	0.7811960464	0.5979471719
77	0.7814017069	0.5977262326
78	0.7817463309	0.5974784993
79	0.7818163251	0.5973577785
80	0.7820865687	0.5971673406
81	0.782354423	0.5969089202
82	0.7825441175	0.5966902523
83	0.7830161909	0.5964678591
84	0.783301945	0.5962539458
85	0.7834692425	0.5960804584
86	0.78393974	0.5958056803
87	0.7844089904	0.5954931839
88	0.7846650255	0.5953452413
89	0.7848870511	0.5950797722
90	0.7851171481	0.5948645675
91	0.7852679976	0.5946337664
92	0.7857196904	0.594327037
93	0.7859932553	0.5941161834
94	0.7861787446	0.5939748249
95	0.7863219044	0.5938497859
96	0.7867275154	0.5935611449
97	0.7869552944	0.5933174932
98	0.7870884074	0.5932192595
99	0.7872180548	0.5930690038
100	0.7874745446	0.5928236833
101	0.7880487769	0.5924879072
102	0.788203198	0.592255305
103	0.7883077535	0.5921155468
104	0.7884342535	0.5919617436
105	0.7887293632	0.5917840016
106	0.78877069	0.5916849172
107	0.7890551064	0.5914438508
108	0.7892779898	0.5912306176
109	0.7897963222	0.5909436774
110	0.7900784056	0.590686508
111	0.7909061911	0.5902984608
112	0.7909668538	0.5901397534
113	0.7912684649	0.5899452987
114	0.7915242899	0.5897305245
115	0.7916626723	0.5895431482
116	0.7919133357	0.5892868002
117	0.7920335533	0.5891565657
118	0.7921497839	0.588972628
119	0.7923357857	0.5888283624
120	0.7925186406	0.5886978867
121	0.7926419392	0.5885196955
122	0.7927335713	0.5883629191
123	0.7932934344	0.5880427108
124	0.7933730468	0.5879374659
125	0.793475731	0.5877393625
126	0.7935427791	0.5875765001
127	0.7941736855	0.587243717
128	0.7942290895	0.5870884887
129	0.7943732366	0.5869133738
130	0.7944184883	0.5867686732
131	0.7947350258	0.5865330175
132	0.7948581938	0.5863798227
133	0.7949854672	0.5862210045
134	0.7957608194	0.5858238455
135	0.7959074257	0.5856404729
136	0.7961432343	0.585420566
137	0.7962793789	0.5852576852
138	0.7967405158	0.5849972838
139	0.7968784598	0.5848943196
140	0.7970042802	0.5846647143
141	0.7970542753	0.5845210327
142	0.797408214	0.5842514993
143	0.7976465755	0.5840252563
144	0.7978898479	0.5838131768
145	0.7980471279	0.5836223815
146	0.7982408401	0.5834028286
147	0.7984837403	0.5832268144
148	0.7987186655	0.5830238835
149	0.7989196177	0.5828546072
150	0.7990906752	0.5826788439
151	0.7992000835	0.5825408825
152	0.7992708092	0.5823835025
153	0.7997773659	0.5821218028
154	0.799842855	0.5819691482
155	0.8000505917	0.5818066157
156	0.8002530403	0.5816659687
157	0.8004061692	0.5815029092
158	0.8007489504	0.5812426168
159	0.8009758895	0.5810989709
160	0.8010165973	0.581001523
161	0.8018691545	0.5805092195
162	0.8021998364	0.5802682834
163	0.8023254886	0.5801215387
164	0.8025300565	0.5799378662
165	0.8029634161	0.5796510093
166	0.8030009887	0.579534896
167	0.8030319781	0.5794446623
168	0.8031316563	0.5793124407
169	0.8032067031	0.5792184525
170	0.803515395	0.5790271336
171	0.8036656226	0.5789309575
172	0.8037200647	0.5787856678
173	0.8039729904	0.5786396805
174	0.8042305598	0.5784571323
175	0.8042658236	0.5783701405
176	0.8045543908	0.5780995986
177	0.8045702088	0.5779983115
178	0.8047274239	0.5779017273
179	0.804914245	0.5777076772
180	0.8052030977	0.5775181278
181	0.8053646522	0.5774295328
182	0.8054662826	0.5773163495
183	0.8055281582	0.5771895024
184	0.8058304911	0.5770196298
185	0.8060513198	0.5768565079
186	0.8061725695	0.5767192763
187	0.8064188575	0.5765421361
188	0.8065710581	0.5763486251
189	0.8066867824	0.5762340479
190	0.8067860007	0.5760956731
191	0.8069159236	0.575956831
192	0.8072145732	0.5757389638
193	0.8073417256	0.575628175
194	0.8075855119	0.5754454369
195	0.80777795	0.5753218448
196	0.8079777198	0.5752036709
197	0.8081290015	0.5750423141
198	0.8082491022	0.5748838293
199	0.8084509496	0.5746897126
200	0.8085505806	0.574573187
201	0.8086276728	0.5744862621
202	0.8087818923	0.5743397129
203	0.8089311006	0.5741737255
204	0.8090361244	0.5740545398
205	0.8091758244	0.5739216808
206	0.8092284577	0.5738126775
207	0.8093943541	0.5736363088
208	0.8095342473	0.573507737
209	0.8097092402	0.5734168776
210	0.8098932518	0.5732531357
211	0.8100862342	0.5730642676
