iter	Passed	Remaining
0	53	26862
1	62	15475
2	62	15475
3	2514	415686
4	2520	311917
5	2526	249667
6	2533	208169
7	2539	178508
8	2546	156289
9	2553	139014
10	2560	125195
11	2567	113889
12	2574	104490
13	2581	96512
14	2588	89685
15	2596	83780
16	2603	78599
17	2611	74036
18	2618	69974
19	2625	66338
20	2633	63070
21	2640	60109
22	2648	57418
23	2656	54973
24	2664	52727
25	2671	50660
26	2679	48751
27	2687	46982
28	2695	45337
29	2702	43801
30	2710	42374
31	2718	41036
32	2725	39780
33	2733	38600
34	2741	37489
35	2750	36460
36	2758	35481
37	2767	34550
38	2775	33665
39	2783	32828
40	2791	32030
41	2799	31270
42	2807	30544
43	2815	29855
44	2823	29197
45	2831	28565
46	2839	27960
47	2847	27380
48	2855	26825
49	2863	26293
50	2871	25783
51	2879	25292
52	2887	24818
53	2895	24365
54	2903	23926
55	2911	23505
56	2921	23112
57	2929	22718
58	2937	22335
59	2945	21965
60	2953	21606
61	2961	21264
62	2969	20933
63	2978	20612
64	2986	20301
65	2995	19999
66	3004	19708
67	3013	19431
68	3022	19159
69	3031	18893
70	3041	18642
71	3052	18398
72	3063	18166
73	3073	17936
74	3083	17710
75	3093	17488
76	3103	17272
77	3113	17064
78	3123	16856
79	3131	16648
80	3139	16442
81	3147	16241
82	3155	16045
83	3163	15853
84	3170	15666
85	3178	15482
86	3186	15303
87	3194	15129
88	3202	14958
89	3210	14791
90	3218	14628
91	3226	14467
92	3235	14312
93	3243	14161
94	3252	14011
95	3260	13864
96	3268	13721
97	3276	13579
98	3284	13440
99	3292	13302
100	3300	13167
101	3308	13038
102	3308	13038
103	3317	12878
104	5771	22132
105	5779	21895
106	5787	21661
107	5795	21432
108	5803	21206
109	5810	20983
110	5818	20766
111	5826	20552
112	5834	20342
113	5842	20136
114	5850	19932
115	5858	19733
116	5866	19536
117	5873	19343
118	5881	19152
119	5889	18966
120	5897	18783
121	5905	18602
122	5913	18423
123	5920	18247
124	5928	18075
125	5936	17905
126	5945	17739
127	5957	17589
128	5965	17427
129	5973	17267
130	5981	17111
131	5989	16955
132	5997	16802
133	6006	16653
134	6014	16505
135	6022	16359
136	6030	16215
137	6038	16072
138	6046	15932
139	6054	15794
140	6062	15657
141	6070	15522
142	6078	15390
143	6086	15260
144	6095	15131
145	6103	15003
146	6110	14876
147	6118	14752
148	6126	14629
149	6135	14509
150	6143	14389
151	6151	14271
152	6160	14158
153	6169	14044
154	6178	13931
155	6186	13819
156	6194	13708
157	6203	13599
158	6211	13490
159	6219	13383
160	6227	13277
161	6235	13173
162	6244	13070
163	6252	12967
164	6260	12866
165	6269	12768
166	6278	12670
167	6286	12573
168	6294	12476
169	6302	12380
170	6310	12285
171	6318	12191
172	6326	12098
173	6335	12008
174	6344	11917
175	6352	11828
176	6360	11739
177	6368	11651
178	6376	11564
179	6385	11478
180	6393	11393
181	6401	11309
182	6409	11225
183	6417	11143
184	6426	11061
185	6434	10980
186	6442	10900
187	6451	10821
188	6458	10741
189	6466	10663
190	6474	10585
191	6482	10508
192	6491	10433
193	6499	10358
194	6507	10284
195	6515	10209
196	6523	10136
197	6531	10064
198	6540	9992
199	6548	9921
200	6556	9850
201	6564	9781
202	6573	9713
203	6581	9644
204	6590	9576
205	6598	9509
206	6605	9441
207	6613	9374
208	6621	9308
209	6629	9243
210	6637	9178
211	6645	9113
212	6653	9049
213	6660	8985
214	6668	8923
215	6676	8860
216	6684	8799
217	6692	8737
218	6700	8676
219	6708	8616
220	6716	8556
221	6724	8497
222	6732	8438
223	6740	8380
224	6748	8321
225	6756	8264
226	6764	8207
227	6772	8150
228	6780	8094
229	6788	8038
230	6795	7982
231	6803	7927
232	6811	7873
233	6819	7819
234	6828	7765
235	6835	7712
236	6843	7659
237	6852	7607
238	6861	7556
239	6869	7504
240	6878	7453
241	6886	7402
242	6895	7352
243	6903	7302
244	6912	7253
245	6920	7203
246	6928	7154
247	6936	7106
248	6945	7057
249	6953	7009
250	6961	6961
251	6970	6914
252	6979	6868
253	6987	6821
254	6995	6774
255	7003	6727
256	7011	6681
257	7019	6635
258	7027	6589
259	7035	6544
260	7043	6499
261	7051	6454
262	7059	6410
263	7066	6365
264	7074	6321
265	7082	6277
266	7090	6234
267	7098	6191
268	7106	6148
269	7114	6105
270	7122	6063
271	7131	6022
272	7139	5980
273	7147	5938
274	7155	5897
275	7163	5855
276	7170	5814
277	7178	5773
278	7186	5733
279	7194	5693
280	7202	5653
281	7209	5613
282	7218	5574
283	7226	5535
284	7234	5496
285	7242	5457
286	7250	5418
287	7258	5380
288	7266	5342
289	7274	5304
290	7282	5266
291	7290	5229
292	7298	5191
293	7306	5154
294	7314	5117
295	7322	5080
296	7330	5044
297	7338	5007
298	7346	4971
299	7354	4935
300	7362	4899
301	7371	4865
302	7380	4830
303	7388	4795
304	7396	4760
305	7404	4725
306	7412	4690
307	7420	4655
308	7428	4621
309	7437	4587
310	7445	4553
311	7453	4520
312	7462	4486
313	7470	4453
314	7478	4420
315	7486	4387
316	7494	4353
317	7502	4320
318	7510	4288
319	7518	4255
320	7525	4222
321	7533	4190
322	7541	4158
323	7549	4126
324	7557	4094
325	7565	4062
326	7573	4031
327	7581	3999
328	7588	3968
329	7597	3937
330	7605	3906
331	7613	3875
332	7621	3845
333	7628	3814
334	7636	3784
335	7644	3753
336	7652	3723
337	7661	3693
338	7668	3663
339	7676	3633
340	7684	3604
341	7692	3574
342	7700	3545
343	7708	3516
344	7716	3486
345	7724	3457
346	7732	3429
347	7739	3400
348	7747	3371
349	7755	3342
350	7763	3314
351	7771	3286
352	7779	3257
353	7787	3229
354	7795	3201
355	7802	3174
356	7810	3146
357	7818	3118
358	7826	3091
359	7834	3063
360	7842	3036
361	7850	3009
362	7858	2982
363	7866	2955
364	7874	2928
365	7882	2901
366	7889	2874
367	7897	2848
368	7905	2821
369	7913	2795
370	7921	2769
371	7929	2743
372	7937	2716
373	7946	2691
374	7954	2665
375	7962	2639
376	7970	2614
377	7978	2588
