feature,importance_drop_pr_auc,importance_drop_std,model,baseline_pr_auc
mcc_code,0.03360816401230818,0.0011323603201989704,xgboost,0.1312539251961959
event_descr,0.021287063600340033,0.0020165950593819437,xgboost,0.1312539251961959
event_type_nm,0.02014055765627546,0.0033082410931210737,xgboost,0.1312539251961959
max_amount_last_24h,0.018631682033571406,0.0009210122878081513,xgboost,0.1312539251961959
device_freq,0.017377416598067685,0.0014463583930909227,xgboost,0.1312539251961959
distinct_event_descr_count_last_24h_norm,0.01447661000341884,0.0007487136909765954,xgboost,0.1312539251961959
std_delta_last_k,0.013841092608879923,0.001555264881204901,xgboost,0.1312539251961959
event_type_nm_share_in_suffix,0.0122440950542377,0.0016827570903707933,xgboost,0.1312539251961959
operation_amt,0.010659522673870395,0.0026567147791543614,xgboost,0.1312539251961959
transactions_per_span_hour,0.010601089145002091,0.0037820419539456532,xgboost,0.1312539251961959
high_amount_ratio_last_24h,0.009695757413531098,0.002296228443790023,xgboost,0.1312539251961959
hour,0.009205538027633653,0.00143888641533053,xgboost,0.1312539251961959
mean_amount_last_3_transactions,0.008718983262324852,0.0005099085884479764,xgboost,0.1312539251961959
amount_ratio_to_min_amount_24h,0.008033952735243757,0.0021617967548739946,xgboost,0.1312539251961959
screen_size_cat,0.0077997263387671375,0.0016769571731618973,xgboost,0.1312539251961959
sum_amount_last_1h,0.007346153320046139,0.002598612676871132,xgboost,0.1312539251961959
developer_tools_flag,0.007167046879126962,0.0027383024120039225,xgboost,0.1312539251961959
phone_voip_call_state,0.006151487313279508,0.001160780436718532,xgboost,0.1312539251961959
session_switch_count_last_20_tx,0.005465861918255538,0.0012823436225744046,xgboost,0.1312539251961959
std_time_deltas,0.005455498946360482,0.001902347336816699,xgboost,0.1312539251961959
event_descr_freq_last_6h,0.005239433684416442,0.0015301883229232073,xgboost,0.1312539251961959
unique_mcc_count_suffix,0.0052177265425802505,0.0011608885976910279,xgboost,0.1312539251961959
mean_gap_seconds_last_5_intervals,0.004749347920711277,0.002125231780082097,xgboost,0.1312539251961959
event_descr_freq_last_24h,0.004624062575222571,0.0009221937727202327,xgboost,0.1312539251961959
channel_switch_count_last_20_tx,0.004513222243893389,0.000816355214854763,xgboost,0.1312539251961959
event_type_nm_freq_last_6h,0.004495335119214167,0.0010130263437740804,xgboost,0.1312539251961959
voip_flag_count_last_24h,0.004404711345922685,0.0007396965881131777,xgboost,0.1312539251961959
delta_1,0.004359086016686936,0.0018940363872592457,xgboost,0.1312539251961959
mcc_amount_std_same_5d,0.004206581001311491,0.00422662391286026,xgboost,0.1312539251961959
log_1_plus_transactions_seen,0.004197980756968639,0.002152603855602552,xgboost,0.1312539251961959
mcc_freq_last_24h,0.004098488845813514,0.00036068639753832684,xgboost,0.1312539251961959
time_since_last_device_change,0.004062289354739937,0.001706667200455167,xgboost,0.1312539251961959
time_since_prev_transaction,0.0038310801885164058,0.001921671047840258,xgboost,0.1312539251961959
weekend_transaction_share_last_7d,0.003653367921018269,0.000700445818511984,xgboost,0.1312539251961959
channel_relative_freq,0.003557204030670885,0.0005146037556631609,xgboost,0.1312539251961959
event_type_nm_freq_last_1h,0.003417259572670678,0.0011695341601349438,xgboost,0.1312539251961959
suffix_time_span_hours_log1p,0.003225582888952544,0.0014530493650893803,xgboost,0.1312539251961959
mcc_switch_count_last_20_tx,0.0030813000469612217,0.0012769435365767448,xgboost,0.1312539251961959
accept_language_cat,0.0030189874901987213,0.00107515755426906,xgboost,0.1312539251961959
amount_cv_in_window,0.0029718074332110655,0.0028717926979672575,xgboost,0.1312539251961959
event_type_nm_freq_last_24h,0.002961347666628983,0.0005573543560822932,xgboost,0.1312539251961959
distinct_hours_active_last_24h,0.002855599545517723,0.0004524070040157577,xgboost,0.1312539251961959
delta_2,0.002517874755163052,0.002761701282946921,xgboost,0.1312539251961959
amount_zscore,0.0024048088937356884,0.002544880141631488,xgboost,0.1312539251961959
amount_iqr_normalized,0.002308492855152294,0.0013941630153636267,xgboost,0.1312539251961959
unique_device_key_count_suffix,0.002294553779342706,0.0014343241629683535,xgboost,0.1312539251961959
session_mean_amount,0.0022334966502897515,0.0012610820273499957,xgboost,0.1312539251961959
device_switch_count_last_20_tx,0.002141143607528112,0.001129322177864819,xgboost,0.1312539251961959
transactions_last_24h,0.0019839615262758183,0.0007440827441518629,xgboost,0.1312539251961959
amount_ratio_to_window_median,0.0019818592844215444,0.001038738535489966,xgboost,0.1312539251961959
amount_relative_to_mcc_median_5_days,0.0019459067637884243,0.0006654446682255822,xgboost,0.1312539251961959
pos_cd_cat,0.001924226991120187,0.0008198170478964288,xgboost,0.1312539251961959
event_descr_freq_last_1h,0.001523710703940895,0.0015834958232333433,xgboost,0.1312539251961959
web_rdp_count_last_24h,0.001442962590838076,0.0007318179351201045,xgboost,0.1312539251961959
trend_mean_last_3_to_10,0.0014308511401509073,0.001027928792520298,xgboost,0.1312539251961959
battery_level,0.0014133591844196658,0.00026230126461815974,xgboost,0.1312539251961959
browser_language_relative_freq,0.0013420689420127808,0.0006238252677436655,xgboost,0.1312539251961959
acceleration_delta_1_over_2,0.001220748283800338,0.0017019249586931403,xgboost,0.1312539251961959
seconds_since_session_start_in_window,0.0010834441984445774,0.0017505326452808639,xgboost,0.1312539251961959
day_of_week,0.0010776012972124715,0.0008030760511425056,xgboost,0.1312539251961959
amount_ratio_prev,0.00100250568640477,0.0009636451510099978,xgboost,0.1312539251961959
mcc_freq_last_6h,0.0009429001307201035,0.0002214177846749749,xgboost,0.1312539251961959
mcc_event_descr_pair_new,0.0008919342492699877,0.00022946197907546366,xgboost,0.1312539251961959
timezone_relative_freq,0.0008873020630386086,0.0006846902661202274,xgboost,0.1312539251961959
sum_amount_last_24h,0.0008163005313299055,0.0016054243848304351,xgboost,0.1312539251961959
is_new_mcc,0.0007865206094963384,7.913958086011846e-05,xgboost,0.1312539251961959
mcc_consecutive_streak_length,0.0007845868376959109,0.00016756663596729005,xgboost,0.1312539251961959
transactions_last_1h,0.000748335549290069,0.0004106139387400069,xgboost,0.1312539251961959
currency_iso_cd_cat,0.0006388332720272671,0.0002248792958574755,xgboost,0.1312539251961959
amount_diff_prev,0.0005603383290372022,0.000337987840247264,xgboost,0.1312539251961959
is_mcc_switch,0.0005432254791821634,0.0006880617945560824,xgboost,0.1312539251961959
unique_timezone_count_suffix,0.000520311053985284,0.000796399255835611,xgboost,0.1312539251961959
