feature,mean_importance_drop_pr_auc
time_since_2nd_prev_transaction,0.0015008928034904857
mean_time_between_tx,0.0013376913284469977
event_descr,0.0010862624537409894
mcc_code,0.0009984897476942387
time_since_prev_to_mean_gap,0.0009083315365312222
channel_freq,0.000882907592650249
device_freq,0.000726057616211811
time_since_last_channel,0.000624320817712117
time_since_prev_transaction,0.0005585097532507823
event_descr_freq,0.0005532449521058232
time_since_last_device,0.0005501579661897516
event_type_nm_freq,0.0003051012792209523
time_since_last_mcc,0.00029863845884371844
mcc_freq,0.00026717943979085964
std_time_between_tx,0.0002449678136038356
channel_count,0.00021129039733929983
device_count,0.0001866554147188251
browser_language_freq,0.00017571646944031883
hour,0.00015623368455123862
transactions_in_session,0.00014890501282026526
device_freq_alt,0.00010211604611127972
timezone_freq,6.74716640662352e-05
mcc_count,5.188478942988893e-05
phone_voip_call_state,3.055086437060326e-05
timezone_missing,9.082037442158893e-06
mcc_freq_alt,8.104977201991623e-06
web_rdp_connection,2.739123634019772e-06
is_compromised_device,7.455309128651891e-07
tr_amount,2.815728082318156e-07
log_tr_amount,5.974762140332351e-08
amount_to_last_amount,0.0
sum_amount_last_24h_norm,0.0
max_amount_last_24h,0.0
is_amount_high,0.0
amount_to_max_24h,0.0
amount_to_median,0.0
amount_zscore,0.0
transactions_last_10m,0.0
transactions_last_10m_norm,0.0
transactions_last_1h,0.0
sum_amount_last_1h,0.0
sum_1h_to_24h,0.0
operation_amt,0.0
sum_amount_last_1h_norm,0.0
sum_amount_last_24h,0.0
transactions_last_1h_norm,0.0
transactions_last_1h_to_24h,0.0
transactions_last_24h,0.0
transactions_last_10m_to_1h,0.0
transactions_last_24h_norm,0.0
is_weekend,-4.914995042639412e-06
is_night_transaction,-7.156854876335804e-06
day_of_week,-1.3737136657872405e-05
