XGBoost — полное ранжирование признаков
Источник модели: saved_model
Baseline PR-AUC (permutation, val sample, pos_label=1): 0.01600801
Строки: train=2000000, val=600000; повторы permutation=5

=== Ранжирование по permutation importance (убывание) ===
rank	feature	importance_drop_pr_auc
1	sum_amount_last_24h	0.00961643
2	event_descr	0.00656395
3	max_amount_last_24h	0.00627936
4	device_freq	0.00376762
5	std_delta_last_k	0.00325920
6	mcc_code	0.00297485
7	operation_amt	0.00278759
8	transactions_last_24h	0.00275776
9	std_time_deltas	0.00254553
10	sum_amount_last_1h	0.00215132
11	time_since_last_device_change	0.00198521
12	delta_1	0.00183829
13	hour	0.00181108
14	delta_3	0.00122996
15	amount_percentile_rank	0.00094809
16	timezone_missing	0.00094323
17	time_since_prev_transaction	0.00088558
18	transactions_last_10m	0.00077237
19	amount_ratio_prev	0.00076473
20	cv_delta_last_k	0.00076411
21	log_1_plus_transactions_seen	0.00072265
22	amount_zscore	0.00066816
23	amount_to_median	0.00063357
24	day_of_week	0.00036681
25	session_duration	0.00030534
26	is_new_device	0.00022768
27	tr_amount	0.00019300
28	web_rdp_connection	0.00015470
29	phone_voip_call_state	0.00013399
30	is_new_channel	0.00008572
31	is_mcc_switch	0.00000732
32	session_mean_amount	0.00000380
33	is_new_timezone	0.00000004
34	is_new_device_tz_pair	-0.00000009
35	is_weekend	-0.00000037
36	is_new_browser_language	-0.00000054
37	is_compromised_device	-0.00000105
38	is_new_device_x_is_new_timezone	-0.00000233
39	is_new_mcc	-0.00000306
40	is_timezone_change	-0.00001252
41	is_device_switch	-0.00001701
42	is_night_transaction	-0.00001974
43	transactions_in_session	-0.00002417
44	amount_zscore_x_is_new_device	-0.00002827
45	delta_2	-0.00004445
46	amount_zscore_x_is_new_mcc	-0.00004470
47	acceleration_delta_1_over_2	-0.00008311
48	trend_mean_last_3_to_10	-0.00015243
49	time_since_last_mcc_change	-0.00040061
50	is_amount_high	-0.00041789
51	transactions_last_1h	-0.00050683
52	amount_diff_prev	-0.00092875

=== Ранжирование по native gain (убывание) ===
rank	feature	gain	weight	cover	total_gain	total_cover
1	sum_amount_last_1h	936.502197	2827.000000	21674.857422	2647491.750000	61274820.000000
2	mcc_code	780.509033	1700.000000	38208.203125	1326865.375000	64953948.000000
3	is_amount_high	615.928284	96.000000	12036.354492	59129.117188	1155490.000000
4	sum_amount_last_24h	528.026978	3550.000000	22748.904297	1874495.875000	80758608.000000
5	event_descr	352.395782	4083.000000	36585.609375	1438832.000000	149379040.000000
6	std_delta_last_k	217.748230	5242.000000	18137.041016	1141436.250000	95074368.000000
7	operation_amt	217.677505	5192.000000	29395.398438	1130181.625000	152620912.000000
8	transactions_last_1h	204.625290	1268.000000	24193.650391	259464.875000	30677548.000000
9	amount_to_median	187.726166	4116.000000	11149.845703	772680.875000	45892764.000000
10	is_new_device	175.735489	97.000000	17414.556641	17046.341797	1689212.000000
11	is_mcc_switch	172.605087	228.000000	39193.207031	39353.960938	8936051.000000
12	transactions_last_10m	172.301926	1172.000000	21393.595703	201937.859375	25073294.000000
13	std_time_deltas	169.416809	6122.000000	14612.486328	1037169.687500	89457640.000000
14	timezone_missing	156.724594	215.000000	93459.460938	33695.789062	20093784.000000
15	is_new_device_x_is_new_timezone	150.347412	64.000000	11112.272461	9622.234375	711185.437500
16	session_mean_amount	143.916107	1844.000000	19566.658203	265381.312500	36080916.000000
17	transactions_last_24h	136.702209	2593.000000	18179.771484	354468.812500	47140148.000000
18	is_weekend	129.826874	105.000000	4276.587402	13631.822266	449041.687500
19	is_new_mcc	129.065994	131.000000	25557.732422	16907.644531	3348063.000000
20	max_amount_last_24h	128.006393	4345.000000	21178.939453	556187.812500	92022488.000000
21	device_freq	123.379250	2706.000000	13140.223633	333864.250000	35557444.000000
22	time_since_prev_transaction	121.605667	5938.000000	15720.426758	722094.437500	93347896.000000
23	time_since_last_mcc_change	120.707222	3477.000000	16670.527344	419699.000000	57963424.000000
24	amount_zscore	117.265053	4290.000000	9223.243164	503067.062500	39567712.000000
25	hour	110.948898	4461.000000	16060.762695	494943.031250	71647064.000000
26	session_duration	99.007950	1635.000000	15539.168945	161878.000000	25406542.000000
